2024-10-23 22:49:07 [Thread-41] INFO  by.bsuir.domain.Ship - [LOADED] The ship №0 left the port
2024-10-23 22:49:08 [Thread-42] INFO  by.bsuir.domain.Ship - [LOADED] The ship №1 left the port
2024-10-23 22:49:08 [Thread-44] INFO  by.bsuir.domain.Ship - [LOADING] [2575.5212662961394 tons] The ship №3 added to the dock "0'st('th) dock"
2024-10-23 22:49:09 [Thread-43] INFO  by.bsuir.domain.Ship - [UNLOADING] [201.0802023571802 tons] The ship №2 added to the dock "2'st('th) dock"
2024-10-23 22:49:10 [Thread-45] INFO  by.bsuir.domain.Ship - [UNLOADED] The ship №4 left the port
2024-10-23 22:49:10 [Thread-43] INFO  by.bsuir.domain.Ship - [UNLOADED] The ship №2 left the port
2024-10-23 22:49:12 [Thread-44] INFO  by.bsuir.domain.Ship - [LOADED] The ship №3 left the port
2024-10-23 22:49:58 [Thread-2] INFO  by.bsuir.domain.Ship - [UNLOADING] [1264.9253285184534 tons] The ship №2 added to the dock "0'st('th) dock"
2024-10-23 22:49:59 [Thread-1] INFO  by.bsuir.domain.Ship - [UNLOADING] [2996.6499942159758 tons] The ship №1 added to the dock "1'st('th) dock"
2024-10-23 22:50:00 [Thread-3] INFO  by.bsuir.domain.Ship - [UNLOADING] [2135.870611232657 tons] The ship №3 added to the dock "2'st('th) dock"
2024-10-23 22:50:02 [Thread-1] INFO  by.bsuir.domain.Ship - [UNLOADED] The ship №1 left the port
2024-10-23 22:50:02 [Thread-2] INFO  by.bsuir.domain.Ship - [UNLOADED] The ship №2 left the port
2024-10-23 22:50:03 [Thread-0] INFO  by.bsuir.domain.Ship - [UNLOADING] [4862.79607787847 tons] The ship №0 added to the dock "0'st('th) dock"
2024-10-23 22:50:05 [Thread-3] INFO  by.bsuir.domain.Ship - [UNLOADED] The ship №3 left the port
2024-10-23 22:50:08 [Thread-0] INFO  by.bsuir.domain.Ship - [UNLOADED] The ship №0 left the port
2024-10-23 22:51:18 [Thread-9] INFO  by.bsuir.domain.Ship - [UNLOADING] [4862.79607787847 tons] The ship №0 added to the dock "0'st('th) dock"
2024-10-23 22:51:19 [Thread-13] INFO  by.bsuir.domain.Ship - [UNLOADING] [4473.3081988908525 tons] The ship №4 added to the dock "1'st('th) dock"
2024-10-23 22:51:22 [Thread-13] INFO  by.bsuir.domain.Ship - [UNLOADED] The ship №4 left the port
2024-10-23 22:51:22 [Thread-10] INFO  by.bsuir.domain.Ship - [UNLOADING] [2996.6499942159758 tons] The ship №1 added to the dock "1'st('th) dock"
2024-10-23 22:51:23 [Thread-9] INFO  by.bsuir.domain.Ship - [UNLOADED] The ship №0 left the port
2024-10-23 22:51:24 [Thread-13] INFO  by.bsuir.domain.Ship - [UNLOADING] [2135.870611232657 tons] The ship №3 added to the dock "0'st('th) dock"
2024-10-23 22:51:24 [Thread-10] INFO  by.bsuir.domain.Ship - [UNLOADED] The ship №1 left the port
2024-10-23 22:51:29 [Thread-13] INFO  by.bsuir.domain.Ship - [UNLOADED] The ship №3 left the port
2024-10-23 22:51:31 [Thread-13] INFO  by.bsuir.domain.Ship - [UNLOADING] [1264.9253285184534 tons] The ship №2 added to the dock "0'st('th) dock"
2024-10-23 22:51:35 [Thread-13] INFO  by.bsuir.domain.Ship - [UNLOADED] The ship №2 left the port
